Year,Month,Illnesses,Hospitalizations,Deaths
1971,2,2,0.0,0.0
1971,6,306,0.0,0.0
1971,7,3777,0.0,0.0
1971,8,83,0.0,0.0
1971,9,40,0.0,1.0
1971,11,892,0.0,0.0
1971,12,84,0.0,0.0
1972,3,421,0.0,0.0
1972,4,169,0.0,0.0
1972,5,265,0.0,0.0
1972,6,246,0.0,0.0
1972,7,17,0.0,0.0
1972,8,18,0.0,0.0
1972,9,143,0.0,0.0
1972,10,50,0.0,0.0
1972,11,309,0.0,0.0
1972,12,12,0.0,0.0
1973,2,260,0.0,0.0
1973,3,2,0.0,0.0
1973,4,2,0.0,0.0
1973,6,145,0.0,0.0
1973,7,365,9.0,0.0
1973,8,372,0.0,0.0
1973,9,153,0.0,0.0
1973,10,194,0.0,0.0
1973,11,32,0.0,0.0
1973,12,259,0.0,2.0
1974,1,1257,0.0,0.0
1974,2,18,0.0,0.0
1974,3,9,0.0,0.0
1974,4,213,0.0,0.0
1974,6,101,0.0,0.0
1974,7,129,0.0,0.0
1974,8,1111,0.0,0.0
1974,9,83,0.0,0.0
1974,10,18,0.0,0.0
1974,11,4800,0.0,0.0
1974,12,615,0.0,0.0
1975,1,390,0.0,0.0
1975,2,17,0.0,0.0
1975,3,550,0.0,0.0
1975,4,1750,0.0,0.0
1975,5,246,0.0,0.0
1975,6,2540,0.0,0.0
1975,7,147,0.0,0.0
1975,8,5119,0.0,3.0
1975,9,46,0.0,0.0
1975,10,107,0.0,0.0
1976,2,162,0.0,0.0
1976,3,763,0.0,0.0
1976,4,99,0.0,0.0
1976,5,751,0.0,0.0
1976,6,502,0.0,0.0
1976,7,2588,145.0,29.0
1976,8,35,0.0,0.0
1976,10,128,0.0,0.0
1976,11,125,19.0,12.0
1976,12,110,0.0,0.0
1977,1,100,0.0,0.0
1977,3,74,0.0,0.0
1977,4,760,0.0,0.0
1977,5,398,91.0,36.0
1977,6,36,0.0,2.0
1977,7,1405,64.0,1.0
1977,8,283,0.0,3.0
1977,9,12,0.0,0.0
1977,10,503,0.0,0.0
1977,11,15,0.0,0.0
1978,2,112,0.0,0.0
1978,3,5000,0.0,0.0
1978,4,50,0.0,0.0
1978,5,4624,0.0,0.0
1978,6,449,0.0,0.0
1978,7,613,4.0,0.0
1978,8,300,0.0,12.0
1978,9,229,0.0,0.0
1978,10,15,0.0,0.0
1978,11,403,0.0,0.0
1978,12,27,0.0,0.0
1979,1,8,0.0,2.0
1979,2,147,0.0,12.0
1979,3,747,0.0,0.0
1979,4,206,0.0,0.0
1979,5,6,0.0,0.0
1979,6,2210,0.0,4.0
1979,7,1392,0.0,1.0
1979,8,89,0.0,0.0
1979,9,99,0.0,0.0
1979,10,5056,0.0,0.0
1979,11,26,0.0,1.0
1979,12,347,0.0,0.0
1980,1,277,0.0,0.0
1980,3,657,4.0,0.0
